Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
15881,001,IND(1 - 12),Permission,1 / 30,Jundong Li
15881,001,IND(1 - 12),Permission,1 / 30,Jundong Li
16198,002,IND(1 - 12),Permission,0 / 30,Geoffrey Fox
15342,003,IND(1 - 12),Permission,0 / 5,Yanjun Qi
15720,004,IND(1 - 12),Permission,0 / 30,Mohammad Mahmoody
16415,005,IND(1 - 12),Permission,2 / 30,Yen-Ling Kuo
15708,006,IND(1 - 12),Permission,0 / 30,Yangfeng Ji
15458,007,IND(1 - 12),Permission,0 / 30,Samira Khan
15876,008,IND(1 - 12),Permission,1 / 30,Brad Campbell
15883,009,IND(1 - 12),Permission,0 / 30,Haiying Shen
15878,010,IND(1 - 12),Permission,0 / 30,Madhav Marathe
16023,011,IND(1 - 12),Permission,0 / 30,Felix Lin
16024,012,IND(1 - 12),Permission,1 / 30,Afsaneh Doryab
15534,013,IND(1 - 12),Permission,0 / 30,Lu Feng
15537,014,IND(1 - 12),Permission,0 / 30,Madhur Behl
16427,015,IND(1 - 12),Permission,0 / 30,Matthew Dwyer
16123,016,IND(1 - 12),Permission,2 / 30,Miaomiao Zhang
15756,017,IND(1 - 12),Permission,1 / 30,Ashish Venkat
15761,018,IND(1 - 12),Permission,2 / 30,Homa Alemzadeh
15771,019,IND(1 - 12),Permission,0 / 30,Nicola Bezzo
16461,020,IND(1 - 12),Permission,3 / 30,Shangtong Zhang
15874,021,IND(1 - 12),Permission,0 / 30,Anil Vullikanti
15798,022,IND(1 - 12),Permission,1 / 30,Seongkook Heo
15826,023,IND(1 - 12),Permission,0 / 30,Kevin Skadron
16475,024,IND(1 - 12),Permission,2 / 30,Ferdinando Fioretto
16512,025,IND(1 - 12),Permission,0 / 30,Kun Qian
16049,026,IND(1 - 12),Permission,0 / 30,Tianhao Wang
15868,027,IND(1 - 12),Permission,1 / 30,Aidong Zhang
16350,028,IND(1 - 12),Permission,1 / 30,Hyojoon Kim
16414,029,IND(1 - 12),Permission,0 / 30,Chang Lou
21337,030,IND(1 - 12),Permission,2 / 30,Henry Kautz
21785,031,IND(1 - 12),Permission,1 / 30,Zezhou Cheng
21890,032,IND(1 - 12),Permission,1 / 30,Yixin Sun
21943,033,IND(1 - 12),Permission,3 / 30,Hadi Daneshmand
,15697,001,IND(3),Permission,0 / 30
15697,001,IND(3),Permission,0 / 30,Sebastian Elbaum
15697,001,IND(3),Permission,0 / 30,Sebastian Elbaum
15701,002,IND(3),Permission,0 / 30,Rich Nguyen
15705,003,IND(3),Permission,0 / 30,Nada Basit
15709,004,IND(3),Permission,0 / 30,Madhur Behl
15721,005,IND(3),Permission,0 / 30,Mohammad Mahmoody
16122,006,IND(3),Permission,0 / 30,Upsorn Praphamontripong
15727,007,IND(3),Permission,1 / 30,Yangfeng Ji
16027,008,IND(3),Permission,0 / 30,Ashish Venkat
15827,009,IND(3),Permission,0 / 30,Kevin Skadron
15762,010,IND(3),Permission,0 / 30,Homa Alemzadeh
15773,011,IND(3),Permission,0 / 30,Nicola Bezzo
15851,012,IND(3),Permission,0 / 30,Haifeng Xu
