ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
11878,GBAC,7219,001,Lecture,"1.5","James Maxham, -, Rajkumar Venkatesan, -","SaSu 8:00am - 5:15pm","Sands Captl Mgmt Bldg Rm 3010","Capstone II: Business Impact","",Closed,33,0,0
12413,GBAC,7219,002,Lecture,"1.5","James Maxham, -, Rajkumar Venkatesan, -","SaSu 8:00am - 5:15pm","Sands Captl Mgmt Bldg Rm 3010","Capstone II: Business Impact","",Closed,24,0,0
12414,GBAC,7224,001,Lecture,"1.5","Ben Leiner, -","SaSu 8:00am - 5:15pm","Sands Captl Mgmt Bldg Rm 3010","Business Ethics and the Digital Age","",Closed,57,30,0
11879,GBAC,7500,001,Lecture,"1.5 - 3","Richard Netemeyer, -, James Maxham, -","SaSu 8:00am - 5:15pm","Sands Captl Mgmt Bldg Rm 3010","Topics in Business Analytics","Study Design & Data Analysis",Closed,57,0,0
11394,GBUS,7101,001,Lecture,"1.5","Kim Whitler","We 5:15pm - 6:45pm","Web-Based Course","Global Leadership Explorations - Part II","",Open,25,50,0
11395,GBUS,7101,002,Lecture,"1.5","Stefan Ruediger","Tu 5:15pm - 6:45pm","Web-Based Course","Global Leadership Explorations - Part II","",Open,33,50,0
11392,GBUS,7235,001,Lecture,"1.5","Felipe Saffie","We 6:00pm - 9:30pm","Sands Captl Mgmt Bldg Rm 3110","Global Economies and Markets - Part I","",Open,71,90,0
11398,GBUS,7252,001,Lecture,"1.5","Michael Ho","Su 8:20am - 9:35am","Sands Captl Mgmt Bldg Rm 3140","Financial Management and Policies - Part II","",Open,62,72,0
11399,GBUS,7252,002,Lecture,"1.5","Michael Ho","Sa 2:00pm - 4:50pm","Sands Captl Mgmt Bldg Rm 3110","Financial Management and Policies - Part II","",Open,56,80,0
11387,GBUS,7295,001,Lecture,"1.5","Luca Cian","Su 1:45pm - 3:00pm","Sands Captl Mgmt Bldg Rm 3140","Marketing Part I","",Open,62,72,0
11386,GBUS,7295,002,Lecture,"1.5","Luca Cian","Su 12:10pm - 1:25pm","Sands Captl Mgmt Bldg Rm 3110","Marketing Part I","",Open,56,90,0
11393,GBUS,7295,003,Lecture,"1.5","Ronald Wilcox","Mo 6:00pm - 9:10pm","Sands Captl Mgmt Bldg Rm 3110","Marketing Part I","",Open,71,90,0
11390,GBUS,7296,001,Lecture,"1.5","Luca Cian","Sa 2:00pm - 4:50pm","Sands Captl Mgmt Bldg Rm 3140","Marketing - Part II","",Open,62,72,0
11391,GBUS,7296,002,Lecture,"1.5","Luca Cian","Su 9:55am - 11:10am","Sands Captl Mgmt Bldg Rm 3110","Marketing - Part II","",Open,56,72,0
11382,GBUS,7316,001,Lecture,"1.5","Vidya Mani","Su 12:10pm - 2:40pm","Sands Captl Mgmt Bldg Rm 3140","Operations Management - Part II","",Open,62,72,0
11385,GBUS,7316,002,Lecture,"1.5","Vidya Mani","Su 8:20am - 11:10am","Sands Captl Mgmt Bldg Rm 3110","Operations Management - Part II","",Open,56,90,0
11383,GBUS,7356,001,Lecture,"1.5","Manuel Baucells","Su 8:20am - 9:35am","Sands Captl Mgmt Bldg Rm 3140","Decision Analysis - Part II","",Open,62,72,0
11384,GBUS,7356,002,Lecture,"1.5","Manuel Baucells","Su 9:55am - 11:10am","Sands Captl Mgmt Bldg Rm 3110","Decision Analysis - Part II","",Open,56,90,0
11400,GBUS,7400,001,Lecture,"1.5","Rory McDonald","Th 6:00pm - 9:10pm","Sands Captl Mgmt Bldg Rm 3110","Strategic Thinking and Action","",Open,71,90,0
11402,GBUS,7600,001,Lecture,"1.5","Joseph Andrasko","Th 6:00pm - 9:10pm","Web-Based Course","Data Vistualization and Analytics","",Open,45,72,0
11388,GBUS,7806,001,Lecture,"1.5","Laura Bordoni","TBA","TBA","Experiential Learning-Part 11","",Open,118,150,0
11403,GBUS,8049,001,Lecture,"1.5","Stefan Ruediger","We 6:00pm - 9:10pm","Sands Captl Mgmt Bldg Rm 3140","EU in the World Economy","",Open,21,72,0
11406,GBUS,8051,001,Lecture,"1.5","Timothy Laseter","Mo 6:00pm - 9:10pm","Sands Captl Mgmt Bldg Rm 3140","Digital Operations","",Open,44,72,0
11404,GBUS,8061,001,Lecture,"1.5","TBA","TBA","TBA","Emerging and Frontier Markets","",Open,0,72,0
12459,GBUS,8265,01,Lecture,"1.5","Rory McDonald","Tu 6:00pm - 9:10pm","Web-Based Course","Disruptive Strategy: Building and Sustaining a Successful Enterprise","",Open,63,72,0
11389,GBUS,8308,001,Lecture,"1.5","Gabrielle Adams","Fr 9:00am - 11:00am","Sands Captl Mgmt Bldg Rm 3130","Leadership Learning Lab","",Open,24,56,0
11407,GBUS,8666,001,Lecture,"1.5","Scott Miller","Th 6:00pm - 9:10pm","Web-Based Course","Financial Crisis: Lessons for Democracy & Capitalism","",Open,47,72,0
11401,GBUS,8669,001,Lecture,"1.5","Jeanne Liedtka","TBA","TBA","Building Experimentation Skills","",Open,0,150,0
12458,GBUS,8758,01,Lecture,"1.5","Rajan Bhandari","TBA","TBA","Strategy in the Digital Age","",Open,45,80,0
11405,GBUS,8930,001,Lecture,"1.5","Lillien Ellis","We 6:00pm - 8:30pm","Web-Based Course","Negotiations","",Open,64,100,0
11397,GBUS,8999,001,IND,"1.5 - 3","Matthew Mcbrady","TBA","TBA","Darden Independent Study","",Open,0,30,0
11408,GBUS,8999,002,IND,"1.5 - 3","Raul Chao","TBA","TBA","Darden Independent Study","",Open,0,30,0
11409,GBUS,8999,003,IND,"1.5 - 3","Yael Grushka-Cockayne","TBA","TBA","Darden Independent Study","",Open,0,30,0
11410,GBUS,8999,004,IND,"1.5 - 3","June West","TBA","TBA","Darden Independent Study","",Open,0,30,0
11486,GCNL,5100,001,Lecture,"4","Sharon Bragg","We 1:00pm - 5:00pm","Claude Moore Nursing Educ G010","Health Assessment and Clinical Interventions","",Open,56,66,0
