ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
12575,EVSC,9999,001,IND,"1 - 12","Stephen Macko","TBA","TBA","Non-Topical Research","",Open,4,30,0
10628,EVSC,9999,002,IND,"1 - 12","Patricia Wiberg","Mo 8:00am - 8:50am","TBA","Non-Topical Research","",Open,0,1,0
12121,FREN,1016,1,Lecture,"3","Spyridon Simotas, -","Sa 9:00am - 12:00pm","New Cabell Hall 368","Intensive Introductory French","",Open,12,20,0
12123,FREN,1026,1,Lecture,"3","Spyridon Simotas, -","Sa 1:00pm - 6:30pm","New Cabell Hall 368","Intensive Introductory French","",Open,12,20,0
12122,FREN,116,1,Lecture,"0","Spyridon Simotas, -","Sa 9:00am - 12:00pm","New Cabell Hall 368","Intensive Introductory French","",Open,12,20,0
12124,FREN,126,1,Lecture,"0","Spyridon Simotas, -","Sa 1:00pm - 6:30pm","New Cabell Hall 368","Intensive Introductory French","",Open,12,20,0
12125,FREN,2016,1,Lecture,"3","Spyridon Simotas","MoTuWeThFr 9:00am - 12:00pm","New Cabell Hall 368","Intensive Intermediate French","",Open,12,20,0
10519,FREN,2020,001,Lecture,"3","Pascale Hapgood, -","Sa 10:30am - 12:45pm","Web-Based Course","Intermediate French II","",Open,9,30,0
12127,FREN,2026,1,Lecture,"3","Spyridon Simotas","MoTuWeThFr 1:00pm - 4:00pm","New Cabell Hall 368","Intensive Intermediate French","",Open,12,20,0
12126,FREN,216,1,Lecture,"0","Spyridon Simotas","MoTuWeThFr 9:00am - 12:00pm","New Cabell Hall 368","Intensive Intermediate French","",Open,12,20,0
12128,FREN,226,1,Lecture,"0","Spyridon Simotas","MoTuWeThFr 1:00pm - 4:00pm","New Cabell Hall 368","Intensive Intermediate French","",Open,12,20,0
12298,GBAC,7217,001,Lecture,"1.5","Alexander Cowan, -","SaSu 8:00am - 5:15pm","Sands Captl Mgmt Bldg Rm 3010","Leadership IV: Leading with Agile","",Closed,56,0,0
12299,GBAC,7218,001,Lecture,"3","James Maxham, -, Rajkumar Venkatesan, -","SaSu 8:00am - 5:15pm","Sands Captl Mgmt Bldg Rm 3010","Capstone I and II: Business Solution and Impact","",Closed,56,0,0
12300,GBAC,7221,001,Lecture,"1.5","Kerrie Carfagno, -, Anthony Palomba, -","SaSu 8:00am - 5:15pm","Sands Captl Mgmt Bldg Rm 3010","Capstone Project III: Presentation/ Management Communication","",Closed,56,0,0
12301,GBAC,7222,001,Lecture,"1.5","Alexander Cowan, -","SaSu 8:00am - 5:15pm","Sands Captl Mgmt Bldg Rm 3010","Leadership V: Hypothesis-Driven Development","",Closed,56,0,0
12267,GBUS,7101,001,Lecture,"1.5","Shane Dikolli","TBA","TBA","Global Leadership Explorations - Part II","",Open,19,30,0
12268,GBUS,7101,002,Lecture,"1.5","Stefan Ruediger","TBA","TBA","Global Leadership Explorations - Part II","",Open,25,30,0
12270,GBUS,7101,003,Lecture,"1.5","Shizuka Modica, Marc Modica","TBA","TBA","Global Leadership Explorations - Part II","",Open,28,30,0
12239,GBUS,7215,001,Lecture,"1.5","June West","Th 6:00pm - 9:10pm","Sands Captl Mgmt Bldg Rm 3110","Leadership Communication","",Open,66,90,0
