Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
Fall 202416518,020,IND(1 - 3 Units),Permission,0 / 30,Madhur Behl
Fall 202416519,021,IND(1 - 3 Units),Permission,0 / 30,Brad Campbell
Fall 202416016,022,IND(1 - 3 Units),Permission,0 / 30,Mark Floryan
Fall 202416914,023,IND(1 - 3 Units),Permission,0 / 30,Briana Morrison
Fall 202416065,024,IND(1 - 3 Units),Permission,6 / 30,Nada Basit
Fall 202417152,025,IND(1 - 3 Units),Permission,0 / 30,Wei-Kai Lin
Fall 202416702,026,IND(1 - 3 Units),Permission,0 / 30,Kristen Naegle
Fall 202416703,027,IND(1 - 3 Units),Permission,0 / 30,Denis Nekipelov
Fall 202416704,028,IND(1 - 3 Units),Permission,0 / 30,Tariq Iqbal
Fall 202416705,029,IND(1 - 3 Units),Permission,0 / 30,Afsaneh Doryab
Fall 202416733,031,IND(1 - 3 Units),Permission,0 / 30,Yixin Sun
Fall 202416120,032,IND(1 - 3 Units),Permission,0 / 30,Samira Khan
Fall 202416741,033,IND(1 - 3 Units),Permission,2 / 30,Judy Fox
Fall 202416159,034,IND(1 - 3 Units),Permission,0 / 30,Haiying Shen
Fall 202416761,035,IND(1 - 3 Units),Permission,0 / 30,Yangfeng Ji
Fall 202416762,036,IND(1 - 3 Units),Permission,4 / 30,Jundong Li
Fall 202416893,037,IND(1 - 3 Units),Permission,1 / 30,Miaomiao Zhang
Fall 202416907,038,IND(1 - 3 Units),Permission,0 / 30,Tianhao Wang
Fall 202416214,039,IND(1 - 3 Units),Permission,1 / 30,Lu Feng
Fall 202416913,040,IND(1 - 3 Units),Permission,0 / 30,Felix Lin
Fall 202416766,041,IND(1 - 3 Units),Permission,2 / 30,Geoffrey Fox
Fall 202416320,042,IND(1 - 3 Units),Permission,0 / 30,Sebastian Elbaum
Fall 202416829,043,IND(1 - 3 Units),Permission,17 / 30,Mark Sherriff
Fall 202416879,044,IND(1 - 3 Units),Permission,4 / 30,Yue Cheng
Fall 202416312,045,IND(1 - 3 Units),Permission,0 / 30,Jonathan Goodall
Fall 202416890,046,IND(1 - 3 Units),Permission,0 / 30,Kevin Sullivan
Fall 202420514,047,IND(1 - 3 Units),Permission,1 / 30,Adwait Jog
Fall 202420862,048,IND(1 - 3 Units),Permission,1 / 30,Kevin Skadron
Fall 202421142,049,IND(1 - 3 Units),Permission,3 / 30,Hyojoon Kim
Fall 202421234,050,IND(1 - 3 Units),Permission,2 / 30,Yen-Ling Kuo
Fall 202421257,051,IND(1 - 3 Units),Permission,1 / 30,Shangtong Zhang
Fall 202421377,052,IND(1 - 3 Units),Permission,1 / 30,Chang Lou
Fall 202421378,053,IND(1 - 3 Units),Permission,3 / 30,Rohan Chandra
Fall 202421411,054,IND(1 - 3 Units),Permission,1 / 30,Scott Acton
Fall 202421461,055,IND(1 - 3 Units),Permission,1 / 30,Kenneth Bilchick+1
Fall 202421500,056,IND(1 - 3 Units),Permission,1 / 30,Kun Qian
,Fall 202416413,001,IND(3 Units),Permission,1 / 30
Fall 202416413,001,IND(3 Units),Permission,1 / 30,David Evans
Fall 202416413,001,IND(3 Units),Permission,1 / 30,David Evans
Fall 202416842,002,IND(3 Units),Permission,0 / 30,Panagiotis Apostolellis
Fall 202416415,003,IND(3 Units),Permission,0 / 30,Panagiotis Apostolellis+1
Fall 202417248,004,IND(3 Units),Permission,0 / 30,Brad Campbell
Fall 202416457,005,IND(3 Units),Permission,0 / 30,Robbie Hott
Fall 202416458,006,IND(3 Units),Permission,0 / 30,Daniel Graham
Fall 202416900,007,IND(3 Units),Permission,0 / 30,Kevin Skadron
Fall 202417088,008,IND(3 Units),Permission,2 / 30,Shangtong Zhang
Fall 202416461,009,IND(3 Units),Permission,0 / 30,Seongkook Heo
Fall 202416462,010,IND(3 Units),Permission,1 / 30,Sebastian Elbaum
Fall 202416463,011,IND(3 Units),Permission,1 / 30,Ashish Venkat
Fall 202416505,012,IND(3 Units),Permission,0 / 30,Homa Alemzadeh
Fall 202416359,013,IND(3 Units),Permission,0 / 30,Yanjun Qi
Fall 202416290,014,IND(3 Units),Permission,2 / 30,Mark Sherriff
Fall 202416580,015,IND(3 Units),Permission,0 / 30,Madhav Marathe
Fall 202421241,016,IND(3 Units),Permission,1 / 30,Ferdinando Fioretto
Fall 202416659,017,IND(3 Units),Permission,0 / 30,E Dukes
Fall 202416660,018,IND(3 Units),Permission,0 / 30,Mona Kasra
Fall 202416661,019,IND(3 Units),Permission,0 / 30,Tariq Iqbal
Fall 202416662,020,IND(3 Units),Permission,0 / 30,Gizem Korkmaz
Fall 202416664,021,IND(3 Units),Permission,0 / 30,Olivier Pfister
Fall 202416706,022,IND(3 Units),Permission,0 / 30,Nicola Bezzo
Fall 202416707,023,IND(3 Units),Permission,0 / 30,Kristen Naegle
Fall 202416708,024,IND(3 Units),Permission,0 / 30,Denis Nekipelov
Fall 202416709,025,IND(3 Units),Permission,0 / 30,Afsaneh Doryab
Fall 202416742,026,IND(3 Units),Permission,1 / 30,Judy Fox
Fall 202416758,027,IND(3 Units),Permission,0 / 30,Michele Claibourn
Fall 202416825,028,IND(3 Units),Permission,3 / 30,Rich Nguyen
Fall 202420369,029,IND(3 Units),Permission,1 / 30,Chen-Yu Wei
Fall 202420559,030,IND(3 Units),Permission,1 / 30,Briana Morrison
Fall 202420599,031,IND(3 Units),Permission,1 / 30,Aidong Zhang
Fall 202420600,032,IND(3 Units),Permission,1 / 30,Tom Fletcher
Fall 202420646,033,IND(3 Units),Permission,1 / 30,Wei-Kai Lin
Fall 202421325,034,IND(3 Units),Permission,1 / 30,Anil Vullikanti
Fall 202421460,035,IND(3 Units),Permission,1 / 30,Yixin Sun
